"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"jdizzle19","-€0.68","75","76.92","50.00","17.65","13.51","35.14","36.00","44.44","50.00","3.50","33.33"
"rojser","-€0.08","186","86.00","100.00","17.65","3.76","8.60","40.74","63.64","80.00","1.20","24.00"
"xsedc","-€0.85","69","81.25","50.00","17.39","11.76","11.76","33.33","50.00","50.00","3.00","50.00"
"mixpokmix","€0.63","100","83.33","100.00","17.24","12.50","18.56","11.76","50.00","0.00","2.40","48.00"
"Kimski2","€1.81","99","97.14","-","17.14","11.46","12.50","25.00","100.00","100.00","1.50","37.50"
"NerfMica","-€1.19","289","80.18","66.67","17.07","8.42","14.34","28.57","68.75","72.73","2.50","42.25"
"Invisib13","-€7.16","86","77.78","100.00","16.67","11.76","18.82","21.43","33.33","33.33","3.67","52.38"
"buuurrr1017","€1.56","98","77.42","75.00","16.67","20.83","26.04","16.67","66.67","66.67","2.60","48.15"
"silly1518","-€1.06","76","61.54","57.14","16.67","5.48","39.47","12.12","25.00","33.33","4.17","51.02"
"santpoker12","-€3.01","163","75.44","33.33","16.67","14.47","28.30","36.73","33.33","35.71","2.63","60.87"
"leshiy1989c","€0.30","67","71.79","100.00","16.67","10.45","35.82","40.00","75.00","75.00","2.17","43.33"
"earth_2025","€1.93","75","27.27","53.85","16.67","9.72","50.00","29.73","45.45","66.67","2.22","46.51"
"coolming126","-€1.13","71","72.41","75.00","16.67","5.71","28.57","21.43","66.67","50.00","3.50","46.67"
"prshn","€1.91","117","70.21","80.00","16.67","5.17","27.59","26.47","66.67","85.71","4.20","45.65"
"rechpoker","€0.04","79","89.47","100.00","16.67","5.06","11.39","15.38","50.00","-","","25.00"
"stadors1","€0.91","470","73.05","68.75","16.67","13.33","29.03","29.50","63.41","72.73","2.18","42.05"
"actiforce","€3.40","90","75.00","0.00","16.67","13.48","20.00","38.10","75.00","83.33","2.33","53.85"
"riprod4","€0.24","196","86.81","66.67","16.67","8.72","13.85","34.38","63.64","62.50","2.86","46.51"
"R.Coon","€1.72","176","87.72","100.00","16.67","4.57","12.57","23.08","66.67","100.00","6.50","44.83"
"ArtemTarkov","-€4.81","70","75.00","100.00","16.67","8.57","37.14","25.00","16.67","33.33","4.00","38.71"
"GANGSTAJERED","€33.30","239","51.96","21.88","16.44","12.02","41.63","35.90","60.71","58.82","0.90","37.00"
"maskarado19","€0.09","338","90.65","100.00","16.22","4.80","8.08","16.00","50.00","100.00","","28.00"
"Zorianka","-€5.82","80","74.19","83.33","16.00","8.75","28.75","33.33","42.86","0.00","1.43","34.48"
"Marinhunso","-€1.02","99","71.43","60.00","16.00","12.24","26.53","25.81","75.00","80.00","0.33","12.50"
"lyatte","-€3.22","332","90.63","100.00","16.00","7.27","12.39","15.09","12.50","0.00","3.86","42.19"
"Bogus876","€2.91","66","83.33","50.00","15.79","12.50","18.75","55.56","60.00","100.00","1.00","36.36"
"lancelot443","€0.84","167","94.44","100.00","15.38","4.82","9.64","17.65","66.67","100.00","6.00","33.33"
"electricm","€0.50","94","66.67","80.00","15.38","5.38","21.51","40.91","44.44","60.00","0.80","26.67"
"switchfoot53","€0.10","74","88.00","100.00","15.38","10.81","13.51","27.27","66.67","-","2.00","22.22"
"sundjerhead","-€0.75","172","88.52","-","15.38","4.76","10.12","26.32","40.00","50.00","3.00","37.50"
"icekuma23","€2.79","269","77.42","33.33","15.38","12.73","21.35","32.73","77.78","78.57","2.00","39.44"
"KrisMagCu","€2.58","116","50.00","70.00","14.29","9.48","48.28","40.74","77.27","80.00","1.13","34.62"
"W00DST3R188","€0.75","65","65.00","66.67","14.29","12.31","21.54","45.45","40.00","50.00","2.50","52.63"
