"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"Keramzit","-€5.70","63","92.11","-","100.00","14.52","14.52","25.00","0.00","0.00","","40.00"
"pant100000","€1.13","64","55.56","75.00","100.00","18.75","37.50","29.17","71.43","75.00","1.80","29.03"
"ReluctLier","€2.85","144","81.82","25.00","85.71","36.88","44.68","27.50","81.82","87.50","1.25","37.04"
"srac1","-€0.90","63","63.33","20.00","85.71","19.05","36.51","26.92","28.57","33.33","2.63","53.85"
"ShullerMax","-€0.13","73","88.89","100.00","83.33","21.92","30.14","16.67","0.00","-","","36.36"
"dame26run","€1.16","94","92.50","-","80.95","27.17","28.26","23.08","33.33","50.00","7.00","53.85"
"MeloWin","€1.88","111","68.00","0.00","80.00","27.93","37.84","30.00","58.33","70.00","3.75","55.56"
"DiegoKar","-€2.46","62","50.00","66.67","76.92","38.33","50.82","27.59","37.50","42.86","7.25","69.05"
"jhantoro","-€0.21","122","73.08","75.00","75.00","31.97","46.72","11.32","83.33","100.00","2.63","30.43"
"LOUNApak","-€0.11","64","77.78","50.00","75.00","14.06","35.94","14.29","66.67","66.67","2.29","44.44"
"DragonInkviz","-€0.02","91","81.25","100.00","75.00","8.79","18.68","16.67","66.67","50.00","10.00","43.48"
"beijingtree","€0.66","79","73.53","50.00","75.00","16.46","31.65","24.00","50.00","50.00","1.90","42.22"
"platosha666","€2.89","78","84.00","50.00","75.00","23.08","33.33","32.00","62.50","100.00","5.80","67.44"
"123mike81","-€2.13","63","46.43","0.00","66.67","16.13","61.90","31.58","25.00","28.57","2.92","60.32"
"msbahuta","€0.32","61","87.50","-","66.67","13.11","18.03","30.77","75.00","100.00","","33.33"
"jikou","€2.60","107","92.86","-","66.67","13.21","13.08","46.15","66.67","100.00","6.00","54.55"
"ivan_0708","€1.73","105","61.36","57.14","66.67","11.43","40.00","25.71","66.67","100.00","1.46","38.78"
"ImWat","-€0.75","118","68.18","75.00","66.67","13.68","25.64","32.00","75.00","83.33","1.53","50.00"
"alex_133","-€0.31","78","100.00","-","66.67","12.82","15.38","11.11","100.00","-","7.00","58.33"
"PiotrussPan","-€1.81","159","37.10","70.59","64.29","39.49","53.50","38.96","40.00","45.83","1.17","41.18"
"davebritz2","€1.47","131","90.00","0.00","64.29","13.18","13.95","14.29","100.00","100.00","2.00","33.33"
"gavrilog","-€0.76","61","85.71","-","64.29","25.86","27.59","37.50","33.33","33.33","8.00","80.00"
"ZaRukavom","€0.47","114","90.91","-","62.50","11.40","14.04","47.06","50.00","60.00","11.00","57.89"
"pipecmolodec","€1.41","106","78.05","50.00","62.07","30.77","32.69","28.57","66.67","66.67","3.00","48.39"
"Old_Slag","€5.36","175","48.84","40.00","60.87","27.43","64.00","36.63","54.05","51.85","2.35","58.38"
"tatitatatu","€0.87","122","90.38","0.00","60.87","21.49","23.14","15.79","66.67","66.67","1.67","38.46"
"Igrysis","-€1.39","125","78.57","100.00","59.46","27.27","31.41","27.27","66.67","66.67","1.70","45.95"
"donald131","-€0.25","72","64.29","66.67","58.33","19.72","29.58","36.84","71.43","66.67","1.44","48.15"
"Hardty69","€4.83","75","47.06","50.00","57.14","36.99","54.05","35.48","81.82","77.78","1.30","35.14"
"888xuesir","-€8.99","65","57.69","50.00","57.14","33.85","50.77","28.13","22.22","12.50","2.47","58.73"
"Fireworks89","-€0.28","64","78.57","100.00","57.14","17.19","29.69","13.33","0.00","0.00","2.33","53.85"
"ruimeira","€0.92","76","68.57","66.67","57.14","16.00","38.67","9.52","50.00","50.00","9.00","58.06"
"buasja","-€6.57","545","86.31","55.56","56.82","11.34","17.47","23.75","47.37","27.27","3.19","46.36"
"TomTilt1337","€19.76","108","75.93","25.00","56.76","28.85","31.73","43.48","70.00","71.43","3.83","71.88"
"chuchundro","-€0.15","83","93.75","-","56.52","19.28","20.48","33.33","100.00","100.00","0.75","30.00"
"sOLEGam","€4.12","162","54.93","16.67","55.56","34.18","41.14","44.44","55.00","50.00","2.68","62.20"
"vladikiller","€0.03","72","56.25","66.67","52.63","25.35","36.62","37.50","66.67","66.67","1.38","35.48"
"scrabit","€0.13","170","70.97","83.33","50.00","11.24","21.89","27.50","36.36","50.00","1.20","27.91"
"malbieyaru","€1.71","68","71.43","100.00","50.00","19.12","25.00","0.00","-","-","2.33","33.33"
"GrAvYtOrAiN","€7.95","73","92.31","0.00","50.00","21.92","23.29","9.09","100.00","100.00","4.00","66.67"
"dekmufc","€3.30","63","28.57","71.43","50.00","20.63","79.37","36.54","36.84","41.18","1.35","44.68"
"Mordatiy","-€2.45","130","40.00","78.57","50.00","20.93","53.49","39.71","44.44","44.00","2.94","51.02"
"TangShanDG","-€3.09","89","89.74","0.00","50.00","13.79","18.39","33.33","50.00","50.00","2.50","58.82"
"pawsx","€0.11","96","91.18","50.00","50.00","10.87","20.65","0.00","-","-","4.00","42.11"
"maki1030","-€3.00","84","62.50","54.55","50.00","10.98","37.80","34.38","27.27","37.50","1.50","39.13"
"mrcarefull","-€1.21","178","82.46","100.00","50.00","15.73","19.66","18.18","50.00","50.00","2.00","33.33"
"Maieero","€3.60","65","41.38","33.33","50.00","23.44","53.13","37.93","54.55","50.00","1.13","39.13"
"kloda1","-€4.00","119","86.49","33.33","50.00","15.97","20.17","47.62","40.00","20.00","0.88","33.33"
"LaGu75","-€0.02","78","84.00","66.67","50.00","14.67","32.00","10.53","100.00","-","2.33","31.82"
"Mtz_10","-€0.54","64","87.50","100.00","50.00","9.52","19.05","15.38","50.00","0.00","","30.77"
"dfgh61","€2.89","92","83.87","0.00","50.00","7.61","17.39","47.06","62.50","83.33","0.73","32.00"
"Eulin","-€2.80","115","95.92","-","50.00","4.39","5.26","38.46","20.00","0.00","1.67","33.33"
"ledeni10","-€0.43","72","50.00","100.00","50.00","23.61","54.17","20.51","37.50","37.50","4.38","53.85"
"mine80","-€0.84","61","88.89","100.00","50.00","15.00","16.67","16.67","100.00","100.00","5.00","50.00"
"kalendulo","-€0.71","61","90.48","100.00","50.00","15.52","18.64","0.00","-","-","","30.00"
"TrueDeal","-€0.35","75","82.14","0.00","50.00","20.55","26.03","41.67","20.00","33.33","5.00","62.50"
"galjakizlyk","€2.22","73","61.54","100.00","50.00","19.44","55.56","20.59","85.71","100.00","5.00","55.56"
"Tommy_Qian","€5.50","88","24.24","50.00","48.78","39.76","86.75","35.48","59.09","52.94","5.58","72.04"
"E_063_KX","-€1.49","427","77.52","73.33","48.65","19.00","26.60","22.94","52.00","50.00","2.07","40.56"
"nakaznick888","-€0.44","119","89.06","-","48.39","19.49","21.85","20.00","50.00","75.00","3.00","39.47"
"bursak","€11.07","396","29.81","44.68","48.31","33.42","67.46","37.45","59.34","58.73","1.51","46.22"
"capodituttiC","-€22.20","82","92.86","100.00","48.15","21.25","26.25","21.05","25.00","0.00","10.00","64.52"
"H2o89","€0.84","100","87.10","0.00","48.15","18.37","22.45","30.77","75.00","100.00","2.00","54.55"
"mirr2","-€3.49","86","80.49","50.00","48.00","21.43","22.62","6.67","100.00","-","6.00","42.86"
"DzikiMonsun","-€6.08","237","89.36","-","47.92","16.81","17.17","21.88","42.86","33.33","6.00","50.00"
"cr0ndd","€0.82","85","50.00","25.00","47.62","21.95","48.78","43.24","68.75","80.00","1.56","46.30"
"Snake01772","€0.81","84","87.50","100.00","47.06","19.28","25.00","17.65","66.67","66.67","8.00","66.67"
"grabliy","-€1.03","69","87.50","-","47.06","24.64","26.09","45.45","40.00","40.00","13.00","86.67"
"stonoga64","€0.32","130","92.86","-","46.67","16.54","16.54","0.00","-","-","","70.59"
"mrkd75.","-€21.32","163","51.11","41.18","46.15","20.99","46.91","28.30","13.33","15.38","2.65","59.80"
"perfect76","-€0.14","77","89.47","100.00","45.45","8.11","20.27","13.33","0.00","-","","23.08"
"RozaNostra","-€0.89","61","88.46","100.00","45.45","16.39","18.03","0.00","-","-","2.00","33.33"
"66SERZH66","-€1.36","75","55.88","75.00","45.45","21.33","32.00","36.00","22.22","0.00","0.70","24.14"
"Banfy","-€0.60","95","84.21","-","45.45","14.44","20.00","20.00","0.00","0.00","5.50","55.00"
"szabodavid56","€6.76","76","82.61","-","45.45","22.54","25.35","33.33","100.00","100.00","15.00","78.95"
"jwieczorek","€0.46","77","71.43","33.33","45.45","13.16","30.26","10.53","50.00","50.00","1.80","37.50"
"aubaba","€4.87","195","88.52","-","45.24","18.82","19.89","19.23","60.00","60.00","2.71","51.35"
"gavvgavv","€0.02","140","92.31","100.00","44.74","18.84","22.46","20.00","33.33","33.33","","77.78"
"ArinKa888","€1.35","111","50.00","100.00","44.74","26.17","50.00","23.64","76.92","87.50","1.70","29.82"
"JohnFertel","-€1.07","106","88.10","100.00","44.44","14.29","18.10","5.56","100.00","-","3.00","42.86"
"jufter","-€0.49","62","80.00","0.00","44.44","18.64","31.67","50.00","42.86","42.86","5.00","65.22"
"bruno2s","€0.15","72","84.21","-","44.44","21.74","23.19","36.36","75.00","100.00","","62.50"
"FreshFresh","€14.01","68","71.43","50.00","44.44","19.70","31.82","42.86","66.67","80.00","3.75","68.18"
"_machine_","-€15.06","335","74.65","84.62","43.93","24.00","31.08","18.03","54.55","44.44","2.22","43.48"
"Obsi_","€4.77","74","84.00","100.00","43.75","20.55","24.32","23.08","66.67","66.67","2.00","50.00"
"arhiatum","-€0.85","212","66.22","50.00","43.75","16.27","30.62","29.31","58.82","60.00","3.77","59.04"
"Matrix8686","-€2.81","220","89.47","-","43.75","10.60","13.76","14.29","50.00","50.00","4.50","47.37"
"HorroRNic","€5.32","128","51.52","71.43","43.59","24.19","45.16","34.55","63.16","75.00","2.93","53.01"
"Robotex1993","€5.14","318","74.77","25.00","43.08","20.65","23.23","32.61","60.00","63.64","2.67","57.97"
"Protone_","€2.79","216","86.30","0.00","42.86","12.96","24.54","25.42","53.33","70.00","2.93","50.57"
"free2bluff","-€0.01","146","81.48","50.00","42.86","11.64","17.12","18.18","50.00","50.00","6.50","54.17"
"MSFM1987","€1.78","140","89.19","33.33","42.86","17.99","20.86","38.46","60.00","66.67","2.60","48.15"
"mr.ermak","€0.18","77","76.00","0.00","42.86","16.00","21.33","27.27","66.67","100.00","1.67","38.46"
"Dmolrub","-€0.51","193","70.49","75.00","42.86","10.36","24.87","21.15","54.55","50.00","1.56","38.36"
"packers90","-€5.38","192","70.49","40.00","42.55","16.94","28.26","36.73","66.67","57.14","1.59","46.67"
"LissaLan","€0.81","239","68.18","20.00","42.31","14.29","36.97","24.71","61.90","62.50","2.09","49.31"
"Penguin.spb","-€7.73","88","78.43","66.67","42.11","13.10","26.19","21.43","33.33","0.00","3.33","55.56"
"Kashiyuka","-€1.20","116","73.81","60.00","42.11","11.71","20.72","25.00","50.00","50.00","2.00","38.10"
"jwsoldier","-€0.92","183","61.11","52.94","41.67","20.79","37.02","30.99","40.91","43.75","2.05","43.43"
"Laxash","-€1.98","120","77.78","100.00","41.67","17.65","26.05","35.29","58.33","50.00","2.50","52.08"
"molotua","€5.14","75","42.86","66.67","41.67","38.36","52.05","26.67","62.50","71.43","3.63","63.04"
"Raizzz777","€2.92","302","81.42","33.33","40.98","18.25","23.16","39.13","66.67","70.00","1.33","42.11"
"deadushka33","-€7.11","139","84.44","33.33","40.91","19.85","25.00","39.29","54.55","50.00","1.00","31.43"
"bololaikin","€0.07","118","89.36","0.00","40.63","18.42","21.93","42.11","62.50","80.00","1.00","26.32"
"NekSlava","-€1.31","146","71.43","40.00","40.43","27.46","30.07","27.59","50.00","60.00","2.86","57.14"
"KamiKace01","-€1.72","227","86.59","75.00","40.38","15.77","24.32","31.71","61.54","50.00","2.89","50.98"
"B3z1bre","€0.17","135","92.31","100.00","40.00","13.74","15.27","6.25","0.00","-","2.33","35.00"
"insite21","€2.07","89","92.11","-","40.00","15.66","19.28","20.00","100.00","100.00","2.33","43.75"
"Grodno06","-€1.19","77","82.61","0.00","40.00","7.79","15.58","37.50","33.33","33.33","1.00","37.50"
"TerroristW","-€0.48","89","95.83","0.00","40.00","9.09","12.50","10.00","100.00","-","5.00","45.45"
"Bobxmax","€2.61","61","53.33","66.67","40.00","15.00","38.33","26.09","66.67","80.00","2.50","46.88"
"OMGHESKEY","-€3.07","100","68.75","0.00","40.00","17.71","29.17","50.00","54.55","60.00","1.00","41.86"
"305604491","-€0.42","111","81.25","100.00","40.00","7.41","16.67","37.04","40.00","50.00","2.13","42.50"
"Dariana888","-€3.06","510","89.71","80.00","40.00","8.66","13.39","23.29","64.71","61.54","3.50","49.49"
"bwth_short","-€1.67","112","87.18","100.00","39.39","17.86","22.32","26.67","100.00","-","","18.18"
"spacedestroy","€5.25","120","75.93","100.00","39.29","20.51","22.03","38.10","75.00","100.00","8.00","44.44"
"vsemstat888","€1.95","81","89.74","0.00","39.13","15.00","20.00","28.57","100.00","100.00","2.33","58.33"
"mrkaib","-€0.42","158","85.96","66.67","38.71","16.23","18.83","13.04","100.00","100.00","9.50","51.35"
"DudkinY","€1.29","116","57.14","41.67","38.71","22.52","38.39","33.33","45.45","62.50","2.00","40.91"
"RillerToxa","-€1.45","219","82.86","50.00","38.46","9.63","17.89","35.14","38.46","55.56","6.67","68.97"
"Bizar007","-€0.58","72","46.15","25.00","37.93","22.81","71.93","21.21","28.57","20.00","5.14","72.00"
"slaweksen","-€3.86","101","72.22","66.67","37.50","16.83","29.70","41.38","33.33","33.33","1.80","48.21"
"noswag387","-€0.67","83","89.29","-","37.50","24.39","26.83","56.25","33.33","60.00","1.67","33.33"
"kyleelyk92","-€0.19","86","73.33","100.00","37.50","21.43","32.94","19.23","60.00","50.00","26.00","68.42"
"Ainity_1987","€1.43","102","58.14","30.00","37.50","21.21","42.42","38.46","50.00","33.33","3.50","60.00"
"NofateG.","-€0.36","70","90.00","100.00","37.50","7.25","14.49","21.43","66.67","-","3.00","23.08"
"HappyEhlsp","-€1.10","63","83.33","66.67","37.50","8.06","12.90","20.00","100.00","100.00","0.00","0.00"
"bruninho88","-€0.90","286","57.41","54.55","37.50","15.49","49.65","28.46","40.00","48.00","1.53","42.16"
"thomasberg","-€1.28","185","81.97","100.00","37.50","19.57","32.07","22.03","38.46","37.50","3.00","52.17"
"DominicWolf","-€0.56","214","92.06","100.00","37.50","9.48","15.64","18.75","50.00","25.00","2.33","35.00"
"Mandrake_BRA","-€2.31","62","66.67","0.00","37.50","14.52","33.87","40.00","25.00","28.57","1.13","37.50"
"quarrystone","-€1.42","170","86.36","80.00","37.14","17.07","20.12","20.00","75.00","66.67","7.00","51.85"
"daydayup100","€1.72","235","73.56","60.00","37.14","24.55","34.51","18.87","70.00","100.00","2.00","33.33"
"foldforme13","-€0.21","569","84.29","61.54","36.67","11.43","19.93","23.58","56.00","66.67","4.15","43.55"
"bykens","-€35.09","416","78.33","70.00","36.59","23.69","28.61","34.25","48.00","45.45","4.19","62.62"
"ShadowShield","-€0.11","126","75.61","25.00","36.36","16.13","25.81","16.22","33.33","20.00","4.43","62.00"
"BlumerRS","€1.12","219","80.82","60.00","36.36","6.88","16.90","33.33","50.00","60.00","4.80","52.17"
"SirinXtreme","-€1.21","234","87.32","50.00","36.36","11.59","18.80","14.89","14.29","33.33","4.60","40.35"
"majkolino","€5.32","125","91.67","-","36.36","19.01","21.49","27.27","66.67","66.67","","64.29"
"Waldi1978","-€5.49","204","76.09","37.50","36.17","16.67","24.75","30.56","54.55","50.00","2.89","53.06"
"solarwasser17","-€0.89","318","75.61","54.55","36.08","16.03","26.60","25.88","45.45","53.85","2.44","44.44"
"kiBeRpUNk87","-€9.63","213","85.23","50.00","35.59","15.17","19.91","39.47","40.00","50.00","1.58","42.22"
"OgneDeva","€1.37","135","81.67","50.00","35.48","18.60","22.31","27.27","33.33","50.00","7.50","57.69"
"DrTwister","€2.52","76","80.95","0.00","35.29","19.18","21.92","45.45","80.00","80.00","1.00","42.11"
"Lekanol","€0.31","144","88.57","100.00","35.29","11.11","16.67","15.38","50.00","50.00","0.91","26.32"
"ShlanDerWolf","€0.52","129","83.02","33.33","35.14","14.84","21.09","19.44","71.43","80.00","1.67","37.74"
"mozila30","€5.65","393","86.40","33.33","35.14","9.07","16.02","20.97","69.23","88.89","1.09","27.91"
"LordSvar","€2.50","84","84.38","100.00","34.78","18.07","22.89","17.65","33.33","33.33","4.00","54.55"
"McFistfight","-€1.76","179","79.17","50.00","33.33","5.03","19.55","29.73","27.27","40.00","0.81","27.66"
"LendoKaar","-€0.51","62","76.67","100.00","33.33","19.67","26.23","7.69","0.00","-","8.00","50.00"
"Janoneson","-€1.84","69","53.85","28.57","33.33","10.14","52.17","32.43","33.33","33.33","1.88","47.76"
"BLUDVER","-€2.06","70","68.97","66.67","33.33","24.64","31.88","38.46","20.00","25.00","","60.00"
"flashreality","€0.84","96","88.24","50.00","33.33","6.32","14.74","35.29","66.67","66.67","1.33","33.33"
"suhmen","€1.05","106","56.00","60.00","33.33","8.65","36.19","24.44","36.36","66.67","1.50","41.38"
"a3832765","€1.32","99","70.00","33.33","33.33","16.33","24.49","33.33","75.00","66.67","4.50","56.25"
"KaKeTkA15","€0.94","82","86.36","-","33.33","16.05","15.85","50.00","28.57","33.33","3.00","66.67"
"otter_sc","-€0.40","74","77.78","100.00","33.33","17.65","22.06","11.11","0.00","-","3.00","30.00"
"Durleik1","-€1.79","196","85.42","33.33","33.33","12.82","20.00","13.89","20.00","25.00","5.20","50.98"
"kanabiuss","€0.69","73","80.00","100.00","33.33","18.31","21.13","41.67","60.00","50.00","3.00","69.23"
"Monitor666","€0.11","105","81.25","100.00","33.33","9.90","18.81","15.00","66.67","66.67","6.50","52.00"
"FatPig66","€4.18","64","85.00","100.00","33.33","27.87","31.15","30.00","66.67","66.67","8.50","70.83"
"4FUSION","-€7.05","95","27.27","75.00","33.33","12.77","68.09","26.56","47.06","42.86","0.92","34.29"
"vycle","€0.25","94","71.05","40.00","33.33","8.79","25.27","28.57","33.33","40.00","2.50","51.72"
"yyyyympa","€3.20","77","86.36","-","33.33","17.33","18.67","40.00","100.00","100.00","1.67","55.56"
"Upsome12","€1.06","80","64.52","66.67","33.33","17.72","36.71","44.83","53.85","54.55","1.37","47.27"
"KHV27","-€6.04","195","86.75","50.00","32.73","13.90","16.58","26.09","66.67","50.00","4.67","53.85"
"zT3rMiT3z","-€0.82","151","83.33","75.00","32.50","15.65","19.73","19.23","80.00","50.00","1.67","20.00"
"bearmckenzie","€12.92","227","85.71","100.00","31.82","15.45","17.73","22.58","57.14","80.00","5.00","54.05"
"flowxs01","€4.26","78","73.08","50.00","31.82","12.82","37.18","22.22","66.67","100.00","4.75","57.58"
"refusetofold","€0.38","228","88.17","60.00","31.58","8.33","10.96","28.00","57.14","80.00","1.50","34.29"
"obscenestorm","-€1.15","172","78.72","57.14","31.25","7.02","20.47","24.39","50.00","66.67","2.38","35.85"
"makskon","-€0.97","125","80.36","75.00","31.25","11.67","18.18","16.67","50.00","0.00","2.50","33.33"
"kox44x","-€5.42","93","77.78","-","31.03","17.98","21.11","27.78","40.00","40.00","6.00","50.00"
"Meng71De","-€0.16","63","75.00","80.00","30.77","13.11","29.51","29.41","60.00","66.67","3.50","36.84"
"McA2A2","€1.64","81","61.29","66.67","30.77","21.79","48.72","27.59","37.50","33.33","6.00","78.26"
"Takshaka13","€2.26","109","76.67","33.33","30.77","8.41","19.63","47.62","50.00","75.00","1.08","42.42"
"maaxe","-€0.57","115","84.78","100.00","30.00","10.53","13.16","42.86","33.33","20.00","1.71","46.15"
"sr_apalon","€0.42","127","97.30","-","30.00","6.40","9.60","25.00","66.67","66.67","3.00","42.86"
"GercogJJ","€6.50","237","88.89","50.00","30.00","10.21","14.47","34.38","81.82","88.89","1.93","55.10"
"djek","€4.40","166","64.06","66.67","30.00","10.30","43.64","21.74","46.67","66.67","1.33","33.33"
"Gannicus10","€2.50","63","77.78","50.00","30.00","18.64","22.03","16.67","0.00","0.00","2.00","57.14"
"7e7u7","€1.79","80","44.12","62.50","30.00","19.23","35.90","16.00","50.00","50.00","3.50","53.85"
"regenerate1","-€1.62","110","85.00","100.00","30.00","22.43","26.17","20.00","33.33","33.33","","47.37"
"loosel","€1.46","142","92.86","-","29.41","12.23","14.39","21.05","75.00","66.67","3.67","44.00"
"uriel37","-€0.37","64","88.00","100.00","29.41","14.29","22.22","0.00","-","-","","12.50"
"simplydevil","-€1.73","286","82.08","66.67","29.31","11.47","24.56","40.24","39.39","47.37","4.00","49.44"
"nirvana2777","-€0.46","114","61.36","50.00","29.27","17.43","35.45","31.43","54.55","60.00","24.00","61.54"
"Tishman_M66","€9.88","104","79.17","100.00","29.17","15.00","31.00","19.05","50.00","100.00","6.50","52.00"
"kuliko","-€0.87","149","87.93","33.33","29.03","14.58","18.06","26.67","25.00","33.33","3.00","47.37"
"gabethepanda","-€6.54","144","63.33","83.33","28.89","20.86","29.50","27.59","25.00","20.00","3.50","56.76"
"apollo9999","-€3.40","89","82.86","75.00","28.57","12.50","21.59","23.53","25.00","100.00","8.00","44.44"
"Lucky_ARC","€7.97","91","86.67","0.00","28.57","9.89","18.68","5.88","100.00","100.00","2.75","45.83"
"looseagain14","€2.76","97","58.82","80.00","28.57","16.67","45.83","15.56","42.86","100.00","2.07","46.27"
"STEPAN1902","-€2.03","139","67.80","77.78","28.57","9.35","34.53","20.00","55.56","50.00","1.61","40.28"
"gedjei","-€0.80","116","56.82","72.73","28.57","20.87","56.52","21.67","53.85","55.56","2.70","53.47"
"Art1kulla","-€0.96","86","91.30","-","28.57","20.00","22.35","33.33","33.33","40.00","15.00","65.22"
"cuchuoi281","-€6.98","151","75.00","42.86","28.57","16.11","33.56","39.53","47.06","46.15","2.00","54.79"
"krekspeks","-€3.90","206","82.11","71.43","28.57","12.50","18.00","25.93","57.14","50.00","1.44","35.14"
"FSicasiro","-€2.01","128","26.79","57.89","28.57","12.60","67.97","30.11","42.86","41.67","0.73","26.62"
"JokerOfLife","-€1.31","229","90.14","100.00","28.57","5.70","16.67","19.15","44.44","66.67","0.94","26.15"
"mrgbg94","€1.11","200","81.33","100.00","28.57","17.09","20.10","26.19","63.64","60.00","3.50","56.00"
"ViktoriaSTR","-€0.20","77","88.00","-","28.57","16.00","21.33","18.18","0.00","0.00","8.00","57.14"
"makatow","€1.92","61","70.00","0.00","28.57","19.67","39.34","20.00","75.00","75.00","6.00","48.00"
"Svetlana1954","-€1.05","122","96.67","100.00","28.26","14.04","16.67","33.33","33.33","33.33","2.50","41.67"
"C0tBatman","€4.69","434","90.30","85.71","28.00","7.85","14.09","33.33","65.22","73.33","3.67","46.81"
"kalimance","-€4.01","83","64.10","60.00","28.00","24.10","30.12","36.84","71.43","66.67","0.56","21.74"
"setpilya","-€6.12","94","83.78","50.00","28.00","12.77","19.15","25.00","33.33","33.33","1.67","33.33"
